"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
54,"DRYS",2.97,0.24,25.85%,41.53%,87.20%,-6.00%,207.19%,74.26,4.70,7.31%,4.68%,2.51%,24520924
55,"NEWL",1.01,0.29,14.12%,-29.07%,-79.24%,-98.56%,55.26%,47.90,1.77,7.27%,5.36%,1.82%,652251
56,"SFE",1.86,0.42,9.69%,10.99%,23.33%,5.74%,42.08%,75.20,20.09,7.26%,5.74%,1.44%,369230
57,"VVTV",3.33,0.30,9.07%,21.56%,40.26%,2.04%,306.40%,71.58,6.99,7.21%,6.39%,0.77%,1816157
58,"DAIO",0.48,0.19,2.15%,-5.34%,11.65%,-20.92%,82.27%,49.77,2.57,7.08%,5.76%,1.25%,109308
59,"XRM",1.29,0.60,15.04%,23.64%,51.29%,1.60%,444.22%,76.02,16.49,7.01%,6.11%,0.84%,500309
60,"NURO",0.37,0.28,3.14%,25.93%,44.67%,-31.29%,98.64%,58.44,2.92,6.96%,7.75%,-0.73%,379683
61,"SAEX",,0.43,8.92%,12.91%,-5.16%,-15.36%,35.30%,68.70,8.93,6.95%,7.46%,-0.48%,16608
62,"AMCN",1.62,0.13,19.52%,16.94%,12.62%,-36.56%,35.33%,73.72,2.03,6.84%,4.64%,2.11%,1728151
63,"EXK",0.85,0.18,7.68%,-6.02%,-16.06%,-56.53%,26.04%,54.90,3.63,6.76%,7.72%,-0.88%,1803255
64,"HMPR",1.77,0.06,7.69%,14.32%,18.99%,-5.91%,63.55%,66.97,1.75,6.71%,6.71%,0.00%,89048
65,"RGEN",0.85,0.42,6.48%,11.50%,37.49%,-2.92%,138.05%,66.86,13.64,6.65%,5.82%,0.78%,1240801
66,"ANGI",,0.70,14.03%,10.51%,-25.25%,-46.50%,36.00%,63.88,15.15,6.47%,5.80%,0.63%,2280961
67,"RIOM",,0.09,18.69%,6.78%,-32.15%,-70.80%,32.54%,64.53,1.67,6.37%,3.73%,2.55%,98444
68,"IDI",1.00,0.13,14.65%,8.35%,20.90%,-25.98%,91.14%,60.77,1.51,6.34%,7.09%,-0.70%,293023
69,"ARCX",,0.58,10.88%,12.06%,12.06%,4.43%,17.17%,,21.90,6.26%,5.14%,1.07%,32190
70,"EJ",2.24,0.65,15.01%,34.47%,113.37%,3.08%,292.59%,73.64,15.08,6.12%,6.87%,-0.70%,3232879
71,"SPPR",1.57,0.20,-22.01%,-44.47%,-63.61%,-75.20%,10.41%,28.69,2.44,6.09%,6.09%,0.00%,40371
72,"XNCR",,0.78,5.41%,5.41%,5.41%,-16.15%,18.70%,,9.14,6.03%,6.16%,-0.12%,169108
73,"IMMY",-0.47,0.21,-4.91%,-13.20%,-47.50%,-66.40%,11.63%,42.43,3.36,5.99%,4.35%,1.58%,43233
74,"CRMD",-0.43,0.11,42.04%,46.36%,46.40%,-9.49%,158.33%,72.40,1.24,5.98%,2.48%,3.42%,173171
75,"AFH",,0.47,13.48%,17.55%,54.54%,4.40%,153.79%,72.96,14.72,5.90%,5.22%,0.65%,29807
76,"MMI",,0.61,2.45%,5.51%,5.51%,-5.10%,13.83%,56.14,14.90,5.90%,5.37%,0.50%,65317
77,"SGRP",-0.20,0.10,2.14%,4.00%,1.12%,-41.07%,22.98%,53.54,1.98,5.88%,7.03%,-1.07%,10269
78,"ANTH",1.52,0.15,5.44%,-0.64%,-22.91%,-54.32%,14.55%,57.73,3.07,5.86%,6.23%,-0.34%,212026
79,"EFUT",1.20,0.14,8.55%,9.10%,30.18%,-25.02%,76.43%,65.54,4.50,5.86%,4.87%,0.94%,17817
80,"THRM",1.82,0.73,8.18%,13.15%,38.66%,1.09%,111.10%,68.75,26.81,5.84%,5.80%,0.04%,583813
81,"XON",,1.02,15.95%,15.50%,7.08%,-24.30%,35.84%,70.16,23.80,5.78%,1.58%,4.13%,577205
82,"NQ",,1.05,20.23%,10.61%,13.17%,-43.24%,154.77%,62.45,14.70,5.76%,2.23%,3.45%,12179340
83,"AMS",0.81,0.15,3.30%,9.47%,16.67%,-19.94%,82.24%,55.11,2.77,5.73%,6.13%,-0.38%,21321
84,"SYUT",2.23,0.55,3.14%,10.11%,54.05%,-11.20%,110.93%,56.36,8.88,5.71%,5.71%,0.00%,44503
85,"APWC",0.50,0.11,3.87%,-0.76%,-9.95%,-26.00%,42.31%,54.53,3.33,5.71%,2.78%,2.86%,16908
86,"PXLW",2.22,0.21,16.72%,10.82%,34.51%,-13.15%,128.44%,71.03,4.82,5.70%,5.70%,0.00%,631571
87,"CCXI",,0.18,9.48%,13.54%,-41.21%,-61.30%,26.70%,72.32,5.79,5.66%,4.89%,0.73%,1131307
88,"AMBA",,1.46,29.64%,44.15%,87.32%,3.26%,274.89%,86.50,33.89,5.64%,4.60%,1.00%,1839313
89,"CERS",2.07,0.28,5.82%,3.96%,18.05%,-9.54%,122.41%,57.01,6.45,5.56%,5.39%,0.16%,776997
90,"RIGL",1.24,0.12,11.57%,1.87%,-26.08%,-62.55%,23.38%,61.99,2.85,5.56%,5.56%,0.00%,1112694
91,"PW",0.22,0.24,5.07%,5.85%,-1.87%,-22.96%,13.13%,64.34,8.79,5.52%,5.52%,0.00%,10734
92,"MCOX",,0.30,2.11%,-6.50%,2.00%,-53.68%,118.56%,51.43,3.65,5.49%,4.58%,0.87%,123119
93,"FALC",1.54,0.09,3.41%,-4.73%,-6.55%,-53.29%,53.41%,51.55,1.35,5.47%,7.14%,-1.56%,370491
94,"AEHR",1.83,0.25,9.57%,15.82%,70.55%,-13.93%,329.17%,61.34,3.09,5.46%,3.69%,1.71%,39575
95,"ICLD",-2.36,1.70,74.97%,126.92%,101.52%,-49.00%,734.55%,80.00,18.36,5.46%,-0.27%,5.74%,2683833
96,"VRTA",-0.12,0.14,-7.92%,1.61%,10.44%,-23.91%,75.00%,46.69,1.75,5.42%,8.70%,-3.01%,48072
97,"LODE",1.00,0.07,1.77%,0.17%,-7.72%,-24.57%,12.18%,54.32,1.75,5.42%,4.79%,0.60%,160571
98,"LWAY",0.30,0.57,6.41%,5.90%,6.18%,-20.06%,98.19%,61.17,15.98,5.41%,5.20%,0.20%,39481
99,"ARQL",1.51,0.11,0.51%,-3.83%,-13.76%,-32.39%,12.57%,49.67,2.15,5.39%,4.88%,0.49%,610285
100,"AMAG",0.61,1.05,1.03%,-0.24%,5.45%,-14.57%,68.14%,49.78,24.28,5.38%,4.07%,1.26%,126974
101,"IFNY",,0.11,7.13%,-24.63%,-36.74%,-62.93%,44.79%,49.07,1.39,5.30%,3.73%,1.52%,30974
102,"ZX",,0.17,14.21%,-15.78%,-13.87%,-39.11%,23.22%,52.26,2.60,5.26%,7.88%,-2.43%,84874
103,"BTUI",1.42,0.18,15.28%,-0.54%,9.63%,-29.34%,54.36%,59.46,3.01,5.24%,4.88%,0.35%,12234
104,"GTN",2.96,0.78,12.00%,33.41%,90.11%,-1.39%,592.09%,67.98,14.88,5.23%,4.42%,0.78%,2006623
105,"DHT",1.12,0.25,10.00%,20.78%,45.16%,0.74%,75.75%,72.41,6.84,5.23%,4.11%,1.08%,131641
106,"VCYT",,0.84,5.97%,11.73%,11.73%,-2.03%,33.27%,62.49,14.50,5.22%,4.77%,0.44%,90179
107,"LAKE",0.22,0.28,1.30%,-1.01%,13.52%,-12.33%,56.55%,50.90,5.26,5.20%,4.16%,1.00%,24110
108,"TWTR",,3.90,15.48%,29.19%,29.19%,-14.83%,64.05%,,63.65,5.19%,2.07%,3.06%,27791740
109,"DGSE",0.69,0.18,-3.50%,-5.80%,-31.79%,-65.53%,9.85%,46.07,2.23,5.19%,-0.89%,6.13%,33835
110,"LCAV",3.68,0.20,9.78%,9.71%,13.47%,-8.45%,46.07%,65.00,3.90,5.12%,6.27%,-1.08%,44340
111,"HL",2.10,0.11,9.96%,2.70%,-5.47%,-49.66%,17.11%,62.11,3.08,5.12%,7.32%,-2.05%,7890845
112,"IO",3.77,0.14,1.69%,-13.76%,-38.13%,-57.14%,17.44%,44.00,3.30,5.10%,4.43%,0.64%,1946891
113,"TRLA",,1.91,10.74%,-2.45%,-3.89%,-33.09%,122.66%,55.89,35.27,5.10%,4.50%,0.57%,1114936
114,"CART",0.44,0.14,7.68%,8.31%,14.78%,-4.61%,53.96%,64.19,3.31,5.08%,4.42%,0.63%,23440
115,"UVE",0.40,0.71,12.37%,42.06%,89.38%,-2.36%,260.41%,69.75,14.48,5.08%,4.17%,0.87%,993902
116,"CTCH",0.14,0.15,14.93%,15.39%,10.51%,-22.06%,53.96%,70.23,3.11,5.07%,2.64%,2.36%,94996
117,"SB",1.69,0.45,17.20%,27.84%,69.11%,-5.02%,228.82%,69.66,10.40,5.05%,5.05%,0.00%,556837
118,"NTWK",1.95,0.23,22.41%,2.72%,-37.94%,-58.39%,37.18%,63.85,5.83,5.05%,1.57%,3.42%,336665
119,"CVRR",,0.64,1.57%,-1.58%,-14.57%,-31.03%,8.75%,51.85,22.62,5.01%,5.45%,-0.42%,832059
