"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
1474,"DCI",5875.87,143.00,141.68,1.20%,2.88%,77.40%,-0.96%,1.49%,5.45,387.75,40.73,-0.88%,533868
1475,"DCIN",45.86,8.06,7.33,1.00%,5.22%,14.80%,17.77%,0.15%,0.26,40.61,5.77,1.41%,118440
1476,"DCIX",98.60,36.52,30.56,,,12.00%,15.34%,1.42%,1.78,243.35,2.77,2.59%,253645
1477,"DCM",72189.04,4327.88,1600.24,,,0.40%,-2.43%,0.03%,2.11,261.49,16.70,0.12%,105968
1478,"DCNG",,,,,,,,,,5.13,31.12,0.00%,0
1479,"DCO",276.46,10.85,10.02,6.20%,5.32%,75.50%,2.13%,2.32%,4.88,47.59,25.39,-0.35%,19615
1480,"DCOM",563.22,36.86,31.81,5.50%,3.21%,66.60%,1.09%,2.58%,5.81,141.14,15.12,-1.05%,122672
1481,"DCT",2573.44,327.41,324.63,0.40%,-2.24%,,5.04%,2.82%,1.38,6620.38,7.92,0.76%,6693543
1482,"DCTH",26.22,9.43,9.36,2.05%,,8.40%,-34.65%,5.09%,1.48,322.50,2.70,-2.88%,66161
1483,"DD",63338.60,918.35,917.58,0.20%,3.90%,67.50%,-0.19%,2.27%,5.71,3639.91,69.31,0.49%,3125779
1484,"DDC",1102.64,85.08,78.99,4.99%,,66.80%,-3.24%,0.20%,0.75,208.66,13.16,1.54%,190151
1485,"DDD",5317.31,103.51,97.89,3.60%,-1.74%,51.80%,4.68%,30.72%,6.08,4942.72,50.65,-1.40%,4151712
1486,"DDE",46.83,32.75,16.87,3.60%,3.33%,32.90%,0.01%,0.14%,0.78,30.41,1.41,-1.40%,10687
1487,"DDF",,,,,,,,,0.37,33.25,10.08,0.30%,23002
1488,"DDG",,,,,,,,,,3.15,22.70,0.00%,0
1489,"DDM",,,,,,,,,,300.10,117.99,0.20%,175136
1490,"DDP",,,,,,,,,,2.32,30.98,0.36%,500
1491,"DDR",6173.29,359.33,300.13,11.70%,1.20%,93.30%,-0.10%,5.77%,6.42,2696.08,17.31,0.76%,4935808
1492,"DDS",4937.76,43.86,35.61,9.30%,6.25%,93.20%,0.18%,6.87%,4.25,575.57,112.75,0.15%,387738
1493,"DE",33679.67,369.70,369.24,0.20%,23.77%,72.50%,-2.02%,4.40%,5.85,2779.39,91.17,0.08%,1683268
1494,"DECK",2682.79,34.63,33.67,4.70%,-3.04%,,-0.17%,19.75%,9.13,728.28,77.29,-0.23%,492447
1495,"DEE",,,,,,,,,,1.35,30.29,2.33%,14511
1496,"DEF",,,,,,,,,,24.29,36.99,0.08%,62885
1497,"DEFL",,,,,,,,,,5.65,51.35,0.10%,1293
1498,"DEG",7392.00,414.35,214.27,,,1.70%,-14.71%,0.05%,1.20,98.14,17.76,-0.45%,69937
1499,"DEI",4058.96,143.68,134.36,1.60%,-1.88%,0.50%,,1.61%,3.00,720.22,28.39,0.50%,597944
1500,"DEJ",29.66,148.29,146.30,2.24%,,0.50%,25.36%,0.26%,0.16,2364.87,0.21,6.75%,1197248
1501,"DEL",778.87,12.71,11.14,3.50%,4.71%,77.90%,0.73%,2.23%,10.11,24.57,61.26,-0.03%,17905
1502,"DEM",,,,,,,,,,559.60,50.54,-1.33%,948888
1503,"DENN",569.57,87.09,85.59,1.50%,9.56%,95.00%,1.50%,2.97%,5.63,450.82,6.50,-0.61%,729597
1504,"DEO",80404.38,629.29,623.92,,,13.10%,6.16%,0.10%,1.26,490.61,128.79,0.80%,315244
1505,"DEPO",686.60,57.99,57.87,0.40%,-13.43%,76.00%,9.90%,7.55%,3.54,1233.08,11.93,0.76%,622606
1506,"DES",,,,,,,,,,63.56,67.74,-0.09%,47012
1507,"DEST",319.72,13.71,13.21,3.00%,25.66%,97.20%,0.79%,2.98%,4.56,86.31,23.13,-0.81%,69308
1508,"DEW",,,,,,,,,,6.29,49.27,-0.28%,1917
1509,"DEX",,,,,,,,,0.59,35.23,12.66,-0.16%,30534
1510,"DF",1626.38,93.47,90.62,1.10%,24.75%,95.30%,-3.43%,8.40%,3.31,2303.84,17.38,-0.11%,3933719
1511,"DFE",,,,,,,,,,383.96,62.50,0.32%,149133
1512,"DFJ",,,,,,,,,,25.10,50.96,0.06%,37222
1513,"DFRG",634.23,23.63,23.61,60.71%,-30.16%,37.10%,11.81%,7.79%,7.00,262.96,27.01,0.63%,76005
1514,"DFS",27360.72,466.27,463.58,1.10%,5.49%,85.80%,-0.76%,1.00%,1.66,2789.02,59.13,0.77%,2415886
1515,"DFT",2084.40,81.39,78.06,0.80%,-0.76%,,3.69%,13.54%,13.93,758.73,25.57,-0.16%,697674
1516,"DFVL",,,,,,,,,,3.39,59.88,0.00%,0
1517,"DFVS",,,,,,,,,,7.04,37.67,1.46%,300
1518,"DFZ",211.30,11.18,9.11,17.49%,-2.74%,76.40%,-0.04%,1.77%,6.08,26.46,18.88,-0.11%,19371
1519,"DG",16583.40,309.97,309.36,0.10%,-78.23%,94.20%,-4.22%,2.36%,1.68,4330.60,53.78,0.52%,6022615
1520,"DGAS",139.77,6.94,6.14,0.70%,-2.02%,28.00%,1.20%,3.30%,9.57,21.16,19.71,-2.14%,19795
1521,"DGAZ",,,,,,,,,,12986.07,3.02,1.17%,7568643
1522,"DGI",2310.28,75.45,71.93,1.00%,18.17%,88.00%,1.25%,10.55%,8.62,880.92,30.36,-0.85%,386880
1523,"DGICB",610.26,26.51,9.57,86.45%,,8.60%,0.02%,0.03%,7.59,0.42,23.02,0.00%,0
1524,"DGII",224.11,25.38,25.17,0.80%,-43.13%,86.40%,0.38%,1.78%,5.92,75.83,8.89,0.68%,85505
1525,"DGL",,,,,,,,,,91.47,41.75,-0.55%,32920
1526,"DGLY",11.60,2.31,1.69,5.30%,99.30%,8.00%,25.89%,6.78%,5.71,20.13,5.04,0.40%,3942
1527,"DGP",,,,,,,,,,116.24,26.77,-1.00%,111522
1528,"DGRE",,,,,,,,,0.44,5.25,25.87,-1.56%,3330
1529,"DGRW",,,,,,,,,0.91,20.64,28.73,0.24%,8355
1530,"DGS",,,,,,,,,,152.17,47.55,-0.54%,138385
1531,"DGSE",24.03,12.20,5.17,3.80%,8.42%,9.70%,0.43%,2.07%,6.51,16.40,2.01,2.03%,24459
1532,"DGT",,,,,,,,,,2.92,71.60,-0.19%,635
1533,"DGX",8611.01,144.48,143.98,0.30%,9.61%,95.60%,0.06%,13.05%,8.32,2259.53,59.89,0.49%,1822386
1534,"DGZ",,,,,,,,,,47.43,14.99,0.27%,55129
1535,"DHF",,,,,,,,,1.79,145.81,4.32,0.93%,199891
1536,"DHG",,,,,,,,,0.07,46.53,14.70,-0.20%,31757
1537,"DHI",7767.45,325.27,286.41,8.60%,-0.55%,95.50%,3.49%,15.72%,6.83,6597.20,23.68,-0.84%,3591541
1538,"DHIL",404.61,3.30,2.84,12.95%,,49.60%,3.09%,1.87%,7.21,7.37,122.01,-0.49%,3743
1539,"DHR",54948.08,699.53,608.22,1.50%,-2.91%,78.40%,-0.65%,0.93%,1.92,2957.54,78.43,-0.15%,3110242
1540,"DHRM",33.95,5.52,4.14,29.62%,,2.80%,,3.98%,0.76,215.45,5.80,-5.69%,93467
1541,"DHS",,,,,,,,,,50.35,58.18,0.24%,42074
1542,"DHT",585.93,79.18,65.19,5.95%,,77.20%,137.83%,0.52%,0.75,450.77,7.31,-1.22%,250595
1543,"DHX",382.34,54.31,52.91,1.50%,-60.43%,86.80%,-6.37%,3.42%,6.12,295.67,7.06,0.28%,207538
1544,"DHY",,,,,,,,,0.99,292.68,3.23,-0.31%,267571
1545,"DIA",,,,,,,,,,5756.22,166.93,0.09%,2829897
1546,"DIG",,,,,,,,,,47.67,79.95,-0.15%,39690
1547,"DIM",,,,,,,,,,12.86,62.01,-0.03%,1943
1548,"DIN",1521.08,19.15,18.70,1.30%,-69.93%,93.40%,-0.54%,1.74%,2.56,127.12,79.39,-0.05%,79855
1549,"DIOD",1305.25,46.80,36.59,0.30%,-2.77%,75.30%,0.80%,3.20%,4.48,261.81,27.67,-0.79%,206514
1550,"DIRT",,,,,,,,,,1.39,46.69,0.00%,0
1551,"DIS",145526.51,1731.84,1598.29,0.10%,9.21%,64.20%,-1.19%,2.32%,5.50,6742.44,84.01,-0.02%,6264264
1552,"DISCA",17578.71,226.18,216.91,1.50%,11.91%,97.70%,-1.98%,3.49%,4.87,1554.02,76.96,-0.98%,1310201
1553,"DISH",27334.05,459.01,213.49,1.60%,0.74%,94.80%,-0.12%,2.01%,1.36,3154.89,58.66,-1.49%,2700716
1554,"DIT",48.82,0.61,0.36,0.40%,0.04%,11.00%,-1.47%,0.22%,0.40,1.99,80.03,0.00%,0
1555,"DIV",,,,,,,,,,38.24,28.59,0.14%,55136
1556,"DJCI",,,,,,,,,,11.71,24.87,-0.68%,11095
1557,"DJCO",238.86,1.38,0.95,32.42%,,31.90%,0.46%,1.74%,14.21,1.16,171.30,-1.03%,621
1558,"DJP",,,,,,,,,,256.53,39.19,-0.71%,309114
1559,"DK",1841.88,60.35,54.69,1.00%,-94.63%,71.70%,6.21%,4.10%,2.13,1052.53,31.07,1.80%,861610
1560,"DKL",850.43,24.65,9.10,2.50%,-4.20%,65.80%,-1.36%,3.04%,13.38,20.70,34.72,0.64%,16361
1561,"DKS",5326.61,123.53,97.67,1.40%,0.87%,96.00%,-0.76%,6.84%,3.60,1854.99,44.45,3.08%,4643112
1562,"DL",636.27,36.09,33.77,5.52%,,11.90%,215.62%,0.34%,0.35,326.43,18.00,2.10%,174460
1563,"DLA",119.11,7.93,6.70,7.30%,1.76%,68.30%,-1.15%,0.89%,3.26,18.29,14.85,-1.13%,6046
1564,"DLB",4243.93,102.56,47.85,1.50%,7.40%,89.00%,1.04%,9.66%,10.22,452.41,41.54,0.39%,325601
1565,"DLBL",,,,,,,,,,4.51,67.51,0.00%,0
1566,"DLBS",,,,,,,,,,12.02,28.52,1.06%,4977
1567,"DLHC",14.81,9.62,7.89,6.90%,11.41%,49.70%,5.03%,0.07%,0.37,15.69,1.53,-0.65%,1525
1568,"DLIA",51.73,70.86,66.21,4.90%,72.30%,73.30%,-4.80%,22.17%,17.21,853.12,0.69,-5.84%,563405
1569,"DLLR",357.42,38.64,37.55,2.20%,-2.07%,,-5.53%,14.97%,3.18,1766.15,9.37,1.30%,1697513
1570,"DLN",,,,,,,,,,90.66,69.76,0.40%,108000
1571,"DLNG",700.70,29.97,8.25,,,80.00%,0.85%,0.80%,1.82,36.16,24.03,2.78%,83941
1572,"DLPH",21016.31,303.66,300.98,0.70%,8.03%,95.70%,-2.09%,0.73%,1.19,1841.83,69.06,-0.22%,1733627
1573,"DLR",7769.09,135.35,134.98,0.20%,22.66%,,-2.59%,21.28%,16.71,1719.03,57.50,0.17%,1287780
1574,"DLS",,,,,,,,,,58.75,65.44,0.25%,50216
1575,"DLTR",11014.70,206.81,199.44,1.40%,4.59%,92.10%,-3.45%,1.87%,2.00,1866.59,53.03,-0.43%,1326174
1576,"DLX",2789.79,50.05,49.47,1.40%,10.92%,87.90%,-1.15%,6.66%,9.61,342.92,56.09,0.63%,318068
1577,"DMD",426.35,91.10,85.82,0.80%,4.89%,43.80%,1.53%,2.02%,2.86,606.06,4.60,-1.71%,641132
1578,"DMF",193.11,20.72,20.72,,,17.70%,-6.81%,0.11%,0.54,44.12,9.31,-0.11%,31907
1579,"DMLP",874.10,30.67,25.40,0.10%,24.32%,16.70%,8.22%,0.13%,0.97,33.49,28.28,-0.77%,17220
1580,"DMND",1004.16,31.38,26.15,1.50%,,76.90%,32.77%,20.38%,15.32,347.70,31.95,-0.16%,180096
1581,"DMRC",243.82,7.53,7.19,3.50%,24.58%,44.80%,-0.74%,2.43%,3.38,51.72,31.86,-1.61%,64128
1582,"DNB",3873.40,37.02,36.86,0.40%,19.34%,95.60%,-6.31%,6.88%,5.03,504.11,103.25,-1.32%,339846
1583,"DNBF",58.93,2.76,2.18,16.40%,5.60%,21.20%,2.09%,0.10%,1.41,1.50,21.50,0.70%,440
1584,"DNDN",353.49,159.95,153.19,3.00%,41.90%,36.70%,-8.52%,26.90%,12.81,3216.61,2.16,-2.26%,2129468
1585,"DNI",,,,,,,,,0.70,38.71,16.16,0.69%,123848
1586,"DNKN",4718.75,106.35,105.90,0.40%,109.14%,98.90%,2.88%,6.46%,6.19,1105.60,44.76,0.88%,664711
1587,"DNL",,,,,,,,,,5.93,53.02,-0.41%,3015
1588,"DNN",593.92,482.86,424.01,,,7.30%,-14.09%,1.86%,7.05,1119.50,1.23,0.00%,508633
1589,"DNO",,,,,,,,,,7.20,31.47,0.51%,3968
1590,"DNP",2812.60,274.40,273.88,,,4.50%,-0.93%,0.08%,0.70,320.38,10.15,-0.98%,481802
1591,"DNR",5964.66,351.69,345.34,0.70%,16.41%,98.30%,1.28%,7.47%,6.17,4177.07,16.89,-0.41%,2596090
