"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
5105,"QEH",,,,,,,,,,1.13,27.40,0.33%,800
5106,"QEM",,,,,,,,,,,,,0
5107,"QEMM",,,,,,,,,,1.21,58.80,0.00%,0
5108,"QEP",4174.49,180.09,178.46,0.60%,-1.28%,89.20%,-1.34%,4.63%,3.25,2541.11,24.17,4.27%,8852719
5109,"QEPM",1083.11,54.51,24.08,0.10%,3.81%,82.80%,,0.70%,2.93,57.64,17.30,-12.93%,932639
5110,"QESP",,,,,,,,,,0.77,51.19,0.18%,621
5111,"QGBR",,,,,,,,,,0.92,54.06,0.00%,0
5112,"QGEN",5312.53,242.36,237.38,,,49.60%,2.41%,3.27%,9.33,831.35,22.12,0.91%,558223
5113,"QID",,,,,,,,,,3348.26,48.20,-2.90%,3866148
5114,"QIHU",8072.11,125.93,65.55,14.20%,,61.70%,0.61%,13.09%,2.40,3578.44,67.59,5.44%,2304988
5115,"QIWI",1604.32,54.20,13.96,,,91.50%,0.18%,1.44%,0.37,548.70,29.28,-1.08%,294412
5116,"QJPN",,,,,,,,,,1.72,57.83,1.58%,1103
5117,"QKLS",4.50,1.52,0.72,52.23%,,12.60%,5.71%,0.22%,0.40,3.95,2.95,-0.34%,601
5118,"QLD",,,,,,,,,,1689.24,114.32,2.95%,2087417
5119,"QLGC",940.55,87.82,87.30,0.60%,13.58%,83.80%,1.86%,4.02%,2.96,1185.44,11.01,2.80%,2810314
5120,"QLIK",2145.49,89.92,88.73,1.10%,4.66%,,-0.49%,10.19%,5.85,1546.34,24.25,1.63%,1471541
5121,"QLTA",,,,,,,,,,23.78,52.17,-0.08%,32648
5122,"QLTB",,,,,,,,,,4.69,53.20,0.32%,1490
5123,"QLTC",,,,,,,,,,2.56,51.19,1.23%,4432
5124,"QLTI",203.82,51.34,44.45,0.50%,-3.78%,51.00%,0.24%,0.65%,1.98,144.78,3.99,0.50%,129281
5125,"QLTY",328.25,27.96,27.42,1.50%,9.39%,93.50%,0.04%,2.41%,3.71,177.82,11.75,0.09%,214623
5126,"QLYS",923.39,32.99,26.73,18.10%,-34.37%,73.20%,-0.70%,3.31%,4.14,213.94,27.77,-0.79%,183126
5127,"QMN",,,,,,,,,,2.59,25.33,-0.08%,2432
5128,"QNST",194.38,44.38,34.57,2.50%,198.65%,66.50%,-0.01%,3.18%,6.41,171.39,4.20,-4.11%,289358
5129,"QQEW",,,,,,,,,0.64,86.81,38.23,1.16%,89835
5130,"QQQ",,,,,,,,,1.76,39665.67,94.39,1.49%,38040184
5131,"QQQC",,,,,,,,,0.11,13.06,21.93,0.55%,1093
5132,"QQQE",,,,,,,,,,5.06,56.89,1.30%,14283
5133,"QQQX",,,,,,,,,3.44,50.66,19.48,2.74%,98378
5134,"QQXT",,,,,,,,,1.41,14.84,35.88,1.33%,3838
5135,"QRE",990.95,64.98,64.07,2.00%,29.88%,28.50%,1.54%,0.81%,0.84,615.27,16.39,7.48%,658499
5136,"QRHC",142.65,97.04,7.52,,,0.80%,,6.89%,3.34,155.16,1.46,-0.68%,48797
5137,"QRM",11.00,78.58,76.59,,,,,0.13%,0.83,124.08,0.15,7.07%,34668
5138,"QSII",799.12,60.22,44.15,17.10%,0.48%,69.00%,0.04%,8.37%,9.51,388.59,13.72,3.39%,300675
5139,"QTEC",,,,,,,,,1.19,63.79,38.41,1.00%,66642
5140,"QTM",279.20,253.82,247.58,3.10%,37.09%,75.20%,0.13%,6.69%,24.11,686.90,1.09,-0.91%,304063
5141,"QTS",947.79,29.02,28.73,,,99.90%,-0.06%,1.57%,5.04,89.51,32.30,-1.10%,97370
5142,"QTWO",478.66,34.19,33.18,,,27.70%,11.20%,3.21%,8.69,122.52,13.99,-0.07%,65604
5143,"QTWW",92.89,23.28,22.93,1.70%,90.49%,28.00%,0.37%,10.56%,9.16,264.23,4.08,2.26%,120496
5144,"QUAD",966.15,48.82,27.84,0.10%,-6.83%,67.90%,0.02%,3.57%,9.61,103.48,19.86,0.35%,87828
5145,"QUAL",,,,,,,,,,59.78,57.44,0.75%,34436
5146,"QUIK",146.70,55.78,55.42,0.10%,33.51%,24.40%,0.11%,20.19%,23.92,467.79,2.60,-1.14%,175977
5147,"QUMU",107.31,8.76,8.38,3.40%,47.56%,65.40%,0.95%,0.20%,1.05,15.78,12.49,1.96%,127643
5148,"QUNR",3001.01,118.57,11.44,,,37.70%,2.01%,16.97%,2.38,817.53,25.83,2.05%,204298
5149,"QURE",171.97,17.53,16.28,,,77.70%,,0.46%,2.46,30.21,9.90,0.92%,2325
5150,"QVCA",13864.25,575.28,519.89,1.84%,-0.01%,91.30%,0.03%,0.81%,1.64,2578.74,24.71,2.53%,1726046
5151,"QWLD",,,,,,,,,,2.80,58.00,0.28%,783
5152,"QXUS",,,,,,,,,,0.86,46.79,0.00%,0
5153,"QYLD",,,,,,,,,3.63,6.82,23.75,0.38%,2318
5154,"R",4448.86,53.07,52.06,0.50%,1.14%,89.70%,0.25%,4.04%,3.81,551.97,83.94,0.13%,564481
5155,"RAD",4593.09,981.43,973.69,0.90%,-2.62%,66.30%,3.41%,3.41%,1.09,30573.41,4.76,1.71%,15020270
5156,"RADA",18.51,8.94,5.01,,,0.60%,,7.86%,0.18,2160.88,2.12,2.42%,376924
5157,"RAI",31069.25,531.28,304.46,0.10%,-79.26%,45.20%,-0.06%,3.60%,5.03,2181.26,59.13,1.11%,2072070
5158,"RAIL",385.40,12.07,11.53,1.00%,19.86%,88.20%,-0.10%,6.51%,5.61,133.85,29.75,-6.83%,136154
5159,"RALS",,,,,,,,,,9.34,41.70,-0.14%,3507
5160,"RALY",256.79,25.20,23.24,5.70%,9.78%,77.80%,1.67%,12.47%,8.00,362.22,9.73,-4.51%,238926
5161,"RAND",19.58,6.42,2.75,21.10%,59.63%,15.80%,-33.41%,0.63%,1.32,13.09,3.05,0.00%,0
5162,"RARE",1485.46,31.70,28.28,0.60%,-92.37%,77.90%,7.55%,6.23%,3.79,465.76,45.92,-2.01%,213830
5163,"RAS",601.50,82.51,81.50,1.23%,1.13%,61.90%,-0.61%,7.05%,9.74,589.69,7.39,1.37%,436339
5164,"RATE",1040.22,104.44,59.40,1.10%,6.19%,58.80%,-5.61%,10.01%,7.15,832.32,10.10,1.41%,425856
5165,"RAVI",,,,,,,,,,7.37,75.70,-0.04%,2015
5166,"RAVN",899.48,36.49,36.02,1.20%,4.54%,78.40%,0.31%,6.20%,19.67,113.58,24.84,0.77%,170498
5167,"RAX",5008.56,143.02,116.90,0.40%,38.49%,85.50%,4.74%,9.13%,3.36,3179.13,35.07,0.14%,1204756
5168,"RBA",2466.44,107.47,103.56,5.57%,,84.90%,0.88%,10.34%,28.18,380.15,23.27,1.39%,299384
5169,"RBC",2944.38,45.18,44.65,0.60%,16.80%,98.90%,0.64%,1.31%,1.86,313.10,65.41,0.37%,329471
5170,"RBCAA",509.98,20.79,9.89,1.60%,3.10%,26.20%,-0.04%,2.59%,14.61,17.55,24.06,-1.92%,16319
5171,"RBCN",110.40,26.16,25.91,0.20%,-8.72%,91.00%,-7.36%,18.78%,6.08,800.84,4.21,-0.24%,463443
