"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
47,"GNI",0.85,0.43,11.04%,10.59%,-56.66%,-67.19%,18.58%,71.49,23.87,6.42%,6.09%,0.31%,167486
48,"VCRA",,0.54,5.32%,2.67%,4.87%,-27.17%,45.54%,58.04,17.45,6.40%,4.55%,1.77%,480658
49,"PLX",,0.16,-2.93%,1.99%,2.59%,-17.04%,30.27%,48.64,4.82,6.40%,4.78%,1.55%,313601
50,"UFS",2.18,2.22,5.45%,9.83%,34.86%,1.68%,77.33%,69.96,113.04,6.39%,3.17%,3.12%,742256
51,"MXT",1.29,0.05,4.39%,-2.96%,-19.38%,-49.70%,21.43%,52.42,1.70,6.25%,2.41%,3.75%,12433
52,"QLTI",1.02,0.23,1.78%,-5.43%,17.74%,-16.06%,61.52%,50.17,5.96,6.24%,4.93%,1.25%,91552
53,"DQ",2.96,3.26,-17.69%,-10.69%,39.19%,-32.71%,853.73%,38.06,38.34,6.20%,5.68%,0.50%,71916
54,"NCQ",,0.09,5.26%,0.82%,-20.00%,-34.29%,13.11%,54.57,1.38,6.15%,6.15%,0.00%,78359
55,"NPSP",0.18,1.97,-13.12%,-16.89%,7.58%,-26.36%,201.86%,35.67,29.22,6.06%,-0.27%,6.35%,2398410
56,"QTWW",1.04,0.80,5.29%,13.39%,88.88%,-12.44%,432.43%,55.81,9.85,6.03%,3.25%,2.69%,825354
57,"MRVC",1.85,0.52,2.50%,6.75%,33.90%,-7.07%,78.92%,54.88,14.85,6.00%,3.85%,2.07%,11329
58,"WSCI",0.43,0.22,18.30%,21.52%,30.60%,2.69%,71.97%,87.22,7.95,5.97%,-0.03%,6.00%,72694
59,"STAA",-0.08,0.94,19.15%,17.63%,40.71%,-4.41%,253.70%,67.11,18.64,5.97%,4.60%,1.31%,805969
60,"TASR",0.12,0.79,-0.16%,5.06%,31.68%,-9.22%,161.19%,54.86,18.91,5.94%,5.11%,0.78%,1774128
61,"OPTT",1.80,0.60,-3.92%,18.97%,86.03%,-40.80%,186.21%,51.42,4.15,5.87%,6.14%,-0.26%,974753
62,"ZLTQ",,1.18,5.07%,-2.17%,48.70%,-22.67%,499.06%,52.75,19.17,5.85%,0.95%,4.86%,1274040
63,"ITG",0.88,0.52,9.04%,10.65%,15.07%,-6.37%,98.98%,70.31,19.54,5.85%,4.72%,1.08%,665375
64,"MDW",0.89,0.08,-7.42%,-4.00%,9.93%,-22.92%,54.17%,43.70,1.11,5.71%,6.73%,-0.95%,257824
65,"CNCO",,0.33,5.96%,6.54%,-19.61%,-51.01%,20.72%,62.78,9.44,5.71%,3.28%,2.35%,133400
66,"AMRS",1.77,0.35,-7.18%,-4.60%,26.23%,-34.53%,84.33%,46.32,4.00,5.54%,3.36%,2.11%,386640
67,"MKC",0.37,0.77,6.15%,6.62%,4.25%,-3.91%,13.47%,73.19,71.20,5.47%,1.35%,4.06%,1635000
68,"HGSH",0.64,0.28,26.15%,20.19%,-13.79%,-56.41%,60.69%,74.50,5.64,5.42%,3.11%,2.24%,57857
69,"CHUY",,1.44,6.12%,9.01%,13.06%,-4.27%,44.06%,64.93,42.18,5.29%,4.41%,0.85%,282941
70,"XRS",0.86,0.81,-3.62%,-3.14%,34.38%,-12.45%,162.05%,44.25,23.27,5.25%,4.44%,0.77%,376172
71,"CWEI",2.20,3.49,3.24%,15.02%,45.37%,-3.30%,162.45%,64.11,97.50,5.21%,4.17%,1.00%,59645
72,"CNAT",,0.96,-15.93%,-14.01%,2.72%,-39.57%,64.41%,37.43,9.47,5.11%,2.82%,2.22%,592643
73,"AMCN",1.90,0.23,6.84%,13.94%,37.32%,-17.28%,78.67%,56.14,2.68,5.10%,6.35%,-1.18%,725207
74,"DOM",1.07,0.23,7.15%,11.28%,36.31%,-5.23%,105.14%,67.78,7.46,5.07%,4.19%,0.85%,90877
75,"ULBI",0.07,0.23,15.60%,18.89%,21.33%,0.22%,43.40%,70.00,4.56,5.07%,4.83%,0.23%,84663
76,"ONP",2.30,0.13,0.12%,-0.76%,16.75%,-16.67%,74.83%,49.85,2.50,5.04%,3.31%,1.68%,108899
77,"OMN",2.10,0.34,8.57%,14.77%,26.30%,-0.46%,70.47%,68.57,10.91,5.00%,4.20%,0.77%,92781
