"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
865,"BWX","SPDR Barclays International Trs Bd ETF","Financial","Exchange Traded Fund","USA",,,58.43,-0.17%,230257
866,"BWZ","SPDR Barclays Short Term IntlTrs Bd ETF","Financial","Exchange Traded Fund","USA",,,34.52,-0.03%,71714
867,"BX","The Blackstone Group L.P.","Financial","Asset Management","USA",33515.77,11.09,28.89,-0.58%,15309261
868,"BXC","Bluelinx Holdings Inc.","Services","Building Materials Wholesale","USA",102.15,,1.16,0.87%,23637
869,"BXE","Bellatrix Exploration Ltd.","Basic Materials","Independent Oil & Gas","Canada",891.74,6.66,4.85,4.08%,614908
870,"BXMT","Blackstone Mortgage Trust, Inc.","Financial","REIT - Diversified","USA",1552.17,17.14,27.39,1.78%,363908
871,"BXP","Boston Properties Inc.","Financial","REIT - Office","USA",18292.39,68.27,118.44,-0.87%,1233958
872,"BXS","BancorpSouth, Inc.","Financial","Regional - Southeast Banks","USA",1896.03,16.87,20.11,1.87%,781077
873,"BXUC","Barclays ETN+ Long C Leveraged","Financial","Exchange Traded Fund","USA",,,295.12,,201
874,"BYBK","Bay Bancorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",51.07,22.05,4.62,-0.22%,250
875,"BYD","Boyd Gaming Corporation","Services","Resorts & Casinos","USA",1034.04,,10.00,4.82%,3272561
876,"BYFC","Broadway Financial Corporation","Financial","Savings & Loans","USA",27.40,6.09,1.40,0.00%,11325
877,"BYI","Bally Technologies, Inc.","Services","Gaming Activities","USA",2960.22,30.65,78.93,2.17%,842452
878,"BYLD","iShares Yield Optimized Bond","Financial","Exchange Traded Fund","USA",,,25.30,-0.16%,200
879,"BYLK","Baylake Corp.","Financial","Money Center Banks","USA",101.54,13.09,11.75,-0.25%,736
880,"BYM","BlackRock Insured Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,14.20,0.28%,74255
881,"BZC","Breeze-Eastern Corporation","Industrial Goods","Aerospace/Defense Products & Services","USA",97.21,23.74,10.00,0.30%,1628
882,"BZF","WisdomTree Brazilian Real Strategy ETF","Financial","Exchange Traded Fund","USA",,,17.89,-0.22%,20068
883,"BZH","Beazer Homes USA Inc.","Industrial Goods","Residential Construction","USA",452.68,,16.99,0.47%,492979
884,"BZM","BlackRock Maryland Municipal Bond Trust","Financial","Asset Management","USA",,,14.53,0.90%,200
885,"BZQ","ProShares UltraShort MSCI Brazil Capped","Financial","Exchange Traded Fund","USA",,,67.18,7.03%,50923
886,"C","Citigroup Inc.","Financial","Money Center Banks","USA",150618.33,16.90,49.75,0.14%,28056652
887,"CA","CA Technologies, Inc.","Technology","Business Software & Services","USA",11455.84,14.97,25.82,0.31%,3144462
888,"CAAS","China Automotive Systems Inc.","Consumer Goods","Auto Parts","China",252.64,7.51,8.81,-2.22%,95897
889,"CAB","Cabela's Incorporated","Services","Sporting Goods Stores","USA",4138.53,20.95,58.49,0.43%,682953
890,"CAC","Camden National Corp.","Financial","Regional - Northeast Banks","USA",280.11,12.54,37.69,-0.16%,21593
891,"CACB","Cascade Bancorp","Financial","Regional - Pacific Banks","USA",374.10,,5.14,-0.77%,70877
892,"CACC","Credit Acceptance Corp.","Financial","Credit Services","USA",2708.25,11.70,124.74,-0.56%,29274
893,"CACG","Chart Acquisition Corp.","Conglomerates","Conglomerates","USA",35.95,,9.93,0.00%,0
894,"CACH","Cache Inc.","Services","Apparel Stores","USA",20.84,,0.67,0.00%,96866
895,"CACI","CACI International Inc.","Technology","Information Technology Services","USA",1674.64,13.10,70.98,0.50%,234159
896,"CACQ","Caesars Acquisition Company","Services","Resorts & Casinos","USA",1224.65,20.04,8.95,-0.78%,162648
897,"CADC","China Advanced Construction Materials Group, Inc.","Industrial Goods","General Building Materials","USA",6.78,,3.68,3.08%,320
898,"CAE","CAE Inc.","Industrial Goods","Aerospace/Defense Products & Services","Canada",3279.96,19.34,12.51,1.05%,80949
899,"CAF","Morgan Stanley China A Share Fu","Financial","Closed-End Fund - Foreign","USA",,,23.75,2.02%,455093
900,"CAFE","iPath Pure Beta Coffee ETN","Financial","Exchange Traded Fund","USA",,,26.74,-0.26%,14113
901,"CAG","ConAgra Foods, Inc.","Consumer Goods","Processed & Packaged Goods","USA",14282.78,52.53,33.29,-0.98%,4525134
902,"CAH","Cardinal Health, Inc.","Services","Drugs Wholesale","USA",24616.27,21.73,72.13,-1.50%,3156388
903,"CAJ","Canon Inc.","Consumer Goods","Business Equipment","Japan",41096.79,14.58,30.49,0.03%,267539
904,"CAK","CAMAC Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",579.81,,0.46,-0.52%,217115
905,"CAKE","The Cheesecake Factory Incorporated","Services","Restaurants","USA",2314.51,21.93,46.77,0.11%,734169
906,"CALA","Calithera Biosciences, Inc.","Healthcare","Biotechnology","USA",133.92,,8.42,12.42%,96729
