"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
29,"ACO",1.57,0.94,28.05%,34.35%,38.08%,8.64%,67.15%,94.93,45.27,9.48%,2.75%,6.55%,1668694
30,"EDN",2.04,0.37,11.04%,-0.08%,47.13%,-39.06%,216.22%,54.68,5.85,9.35%,8.33%,0.93%,266097
31,"GGAL",1.15,0.55,18.92%,2.06%,23.87%,-23.60%,101.01%,62.64,9.97,9.32%,4.95%,4.17%,1027198
32,"CREG",1.82,0.23,13.77%,-3.88%,31.78%,-30.87%,261.36%,55.37,3.18,9.28%,8.90%,0.34%,226917
33,"EMMS",0.64,0.17,15.38%,22.63%,37.29%,-4.43%,141.26%,70.71,3.45,9.18%,5.83%,3.16%,356236
34,"ANAT",1.31,2.54,9.67%,6.51%,12.27%,-1.78%,55.15%,67.92,117.31,9.13%,9.13%,0.00%,44842
35,"GSH",1.15,0.48,14.16%,8.50%,1.41%,-15.62%,26.91%,70.10,23.77,9.09%,1.32%,7.66%,51654
36,"BVX",0.19,0.20,20.44%,40.05%,16.89%,-30.06%,72.68%,74.76,3.35,8.77%,6.35%,2.27%,28969
37,"EXK",1.17,0.26,24.47%,42.92%,36.05%,-17.28%,94.44%,78.89,5.60,8.74%,5.26%,3.30%,3783737
38,"GTT",0.79,0.53,36.75%,61.24%,137.36%,8.61%,443.04%,90.44,12.49,8.61%,8.61%,0.00%,245473
39,"MN",,0.51,-5.40%,-7.65%,-8.10%,-20.56%,12.22%,41.55,15.72,8.49%,8.26%,0.21%,271816
40,"EMXX",,0.06,13.06%,19.29%,-4.68%,-44.23%,48.72%,68.32,1.16,8.41%,8.41%,0.00%,275603
41,"VSAT",1.20,1.71,3.28%,1.55%,-4.04%,-15.67%,37.05%,56.20,61.92,8.14%,7.97%,0.16%,410932
42,"PQ",1.49,0.13,8.17%,6.42%,-0.56%,-15.88%,20.85%,66.71,4.29,8.06%,0.70%,7.30%,3109651
43,"FCZA",0.41,0.22,15.81%,25.06%,25.10%,5.50%,44.75%,87.27,8.56,7.89%,7.08%,0.76%,37672
44,"SSY",1.85,0.13,1.10%,15.38%,32.20%,-41.49%,115.69%,54.15,1.10,7.84%,7.84%,0.00%,26996
45,"RBY",0.58,0.09,27.96%,63.17%,25.14%,-37.74%,153.85%,75.84,1.65,7.84%,3.12%,4.58%,2213334
46,"RIC",0.48,0.08,20.85%,45.33%,24.04%,-39.80%,91.49%,75.59,1.80,7.78%,4.05%,3.59%,332402
47,"NCIT",0.95,0.42,30.55%,37.65%,67.76%,6.40%,127.07%,86.39,9.31,7.75%,8.26%,-0.46%,86808
48,"TEO",1.13,0.67,9.60%,4.08%,3.83%,-15.64%,52.85%,62.03,17.38,7.55%,7.28%,0.25%,311162
49,"FIZZ",0.52,0.73,7.15%,6.92%,20.14%,-0.14%,66.16%,63.37,21.95,7.55%,7.33%,0.20%,64098
50,"ARTX",1.19,0.23,1.13%,-5.00%,43.01%,-27.89%,187.00%,51.59,2.87,7.49%,8.30%,-0.75%,1000249
51,"BRN",1.35,0.16,4.19%,3.04%,-4.23%,-18.51%,15.27%,58.29,3.17,7.46%,7.46%,0.00%,11404
52,"COTY",,0.49,6.93%,0.07%,-6.70%,-15.85%,14.89%,61.90,14.74,7.43%,5.06%,2.26%,2967942
53,"AHC",2.54,0.28,20.32%,24.23%,31.95%,5.52%,99.53%,82.52,9.56,7.42%,7.42%,0.00%,83759
54,"ITRI",1.65,1.60,-10.57%,-10.81%,-13.11%,-23.34%,11.82%,27.23,36.12,7.37%,3.23%,4.01%,1201620
55,"CIEN",2.49,0.71,10.26%,9.65%,14.19%,-10.52%,76.80%,68.77,25.00,7.34%,2.71%,4.51%,8888962
56,"ZA",,0.08,6.58%,4.77%,-15.81%,-46.96%,15.66%,60.31,1.92,7.26%,7.87%,-0.56%,662461
57,"LND",,0.14,-0.80%,-7.93%,-18.74%,-33.75%,11.64%,46.62,3.55,7.25%,5.03%,2.11%,10850
58,"PLM",2.13,0.05,12.11%,19.26%,34.39%,-7.03%,77.61%,69.74,1.19,7.21%,5.31%,1.80%,812619
59,"HOTR",0.01,0.23,-9.23%,-20.89%,-9.41%,-35.79%,167.86%,34.96,3.75,7.14%,7.14%,0.00%,23985
60,"TCI",-0.40,0.54,39.59%,66.03%,93.80%,1.96%,261.09%,96.30,16.61,7.09%,10.66%,-3.22%,13137
61,"H",1.27,0.88,9.02%,8.65%,17.44%,4.12%,40.04%,72.40,52.85,7.01%,2.05%,4.86%,1166588
62,"MGT",1.22,0.15,-6.00%,-17.49%,-41.32%,-60.37%,31.29%,42.59,2.14,7.00%,7.00%,0.00%,48181
63,"NGD",0.32,0.25,10.46%,18.93%,2.71%,-37.15%,35.90%,66.75,6.36,6.89%,4.26%,2.52%,6452691
64,"FRO",2.08,0.31,-4.18%,2.40%,48.85%,-21.24%,138.60%,50.85,4.08,6.81%,2.26%,4.45%,2097290
65,"ETRM",2.00,0.21,1.34%,2.89%,56.03%,-17.29%,171.60%,53.18,2.20,6.80%,-3.08%,10.19%,2392209
66,"AGI",,0.46,10.38%,-4.78%,-22.38%,-39.48%,17.81%,54.97,10.45,6.74%,3.98%,2.66%,607514
67,"VITC",0.71,0.23,-1.34%,-1.57%,-25.18%,-40.64%,9.20%,51.79,5.58,6.69%,6.49%,0.19%,66965
68,"SPU",0.83,0.07,0.73%,4.76%,-3.87%,-28.89%,12.94%,56.11,1.92,6.67%,0.52%,6.11%,47871
69,"AXU",0.93,0.16,20.93%,42.82%,44.82%,-50.59%,133.33%,66.68,2.10,6.60%,4.48%,2.03%,633185
70,"WMK",0.75,1.15,4.29%,0.66%,5.90%,-6.18%,31.50%,58.79,50.43,6.50%,6.28%,0.21%,64499
71,"MHR",1.62,0.36,6.66%,15.96%,54.50%,-1.36%,266.67%,65.72,8.69,6.50%,-0.46%,6.99%,8555745
72,"HOMB",0.85,1.06,4.47%,-3.79%,14.13%,-14.63%,101.27%,54.76,33.20,6.48%,1.28%,5.13%,442299
73,"DRRX",1.26,0.23,-20.21%,-10.53%,19.91%,-38.66%,117.11%,37.96,1.65,6.45%,7.84%,-1.29%,2291235
74,"ESTE",0.73,0.24,7.61%,6.03%,20.09%,-2.68%,53.18%,74.77,19.27,6.41%,0.00%,6.41%,13212
75,"INTX",0.43,0.31,-14.09%,-17.79%,-25.42%,-38.79%,11.95%,28.64,6.37,6.34%,7.06%,-0.67%,139560
76,"MEA",2.27,0.13,10.66%,11.57%,35.71%,-17.91%,91.30%,62.65,2.20,6.28%,4.76%,1.45%,470633
77,"HILL",2.05,0.36,11.27%,38.35%,93.29%,2.12%,482.42%,70.24,5.30,6.21%,6.00%,0.20%,1583948
78,"LDL",0.97,0.50,7.56%,8.68%,15.25%,-2.54%,41.31%,69.72,18.78,6.16%,6.04%,0.11%,89246
79,"SYN",1.64,0.20,28.49%,50.43%,55.26%,-0.81%,156.84%,75.65,2.44,6.09%,-2.01%,8.26%,4020793
80,"LGL",0.63,0.30,-1.33%,3.05%,13.50%,-14.26%,87.12%,50.89,5.59,6.07%,5.87%,0.19%,12607
81,"NVFY",,0.44,-4.73%,15.46%,40.74%,-28.35%,218.50%,53.93,6.37,6.70%,7.06%,-0.34%,118239
82,"TGD",,0.08,16.87%,31.84%,-9.51%,-46.82%,63.92%,69.56,1.59,6.00%,3.92%,2.00%,498040
83,"ADNC",,0.47,3.76%,3.91%,-3.64%,-31.99%,29.80%,60.18,11.50,5.99%,5.70%,0.28%,215127
84,"POOL",1.25,1.00,6.09%,4.17%,7.82%,-0.77%,31.46%,67.65,58.21,5.97%,5.64%,0.31%,375644
85,"CMT",1.51,0.54,11.48%,11.70%,35.93%,-0.14%,113.44%,66.56,13.98,5.91%,4.48%,1.36%,32127
86,"REGI",,0.36,5.77%,1.53%,-16.00%,-33.52%,85.93%,59.02,10.97,5.89%,5.89%,0.00%,594986
87,"EVI",0.38,0.19,16.66%,14.32%,61.59%,-27.60%,210.29%,67.88,3.62,5.85%,5.56%,0.27%,254816
88,"INUV",0.25,0.11,-0.86%,-5.22%,7.59%,-34.54%,122.81%,48.55,1.27,5.83%,4.96%,0.83%,236304
89,"CRWS",0.34,0.26,8.20%,9.35%,22.22%,-1.61%,66.14%,68.88,8.56,5.81%,5.68%,0.12%,41416
90,"DSS",0.61,0.13,9.89%,-8.60%,-7.01%,-54.67%,91.86%,52.58,1.65,5.77%,4.43%,1.28%,741647
91,"CLF",2.41,1.02,13.01%,1.21%,7.03%,-22.12%,52.04%,63.29,23.16,5.75%,0.39%,5.34%,13290515
92,"USEG",2.32,0.16,6.72%,6.06%,43.91%,-9.11%,154.48%,59.24,3.69,5.73%,6.34%,-0.57%,173763
93,"TGS",1.07,0.12,12.01%,3.92%,8.24%,-24.23%,59.42%,63.01,2.22,5.71%,5.21%,0.48%,321216
94,"XNY",,0.06,7.00%,2.12%,3.99%,-40.64%,41.30%,59.91,1.30,5.69%,4.85%,0.80%,326592
95,"MXC",1.71,0.32,7.09%,8.70%,17.57%,-18.51%,50.20%,60.15,7.66,5.66%,5.66%,0.00%,55660
96,"ATTU",0.46,0.49,3.98%,8.43%,37.50%,-8.03%,140.95%,61.42,10.65,5.65%,5.03%,0.60%,197009
97,"VISN",2.59,2.34,5.94%,30.03%,231.71%,-27.02%,1413.56%,61.23,26.79,5.64%,2.72%,2.84%,232016
98,"WD",,0.49,17.64%,10.97%,6.92%,-21.50%,36.40%,76.55,17.05,5.64%,6.83%,-1.12%,170698
99,"SA",0.85,0.44,13.38%,20.97%,-7.21%,-45.36%,41.65%,64.85,9.42,5.49%,3.29%,2.13%,820927
100,"FAC",0.48,0.14,4.49%,19.23%,51.71%,-7.80%,142.86%,64.23,2.72,5.43%,7.42%,-1.86%,25504
101,"FALC",1.69,0.08,4.70%,12.27%,19.17%,-45.67%,78.41%,63.97,1.57,5.37%,2.61%,2.68%,469378
102,"TLF",0.87,0.35,7.43%,4.95%,13.79%,-4.90%,65.39%,67.88,9.51,5.32%,1.28%,3.99%,18139
103,"PED",0.71,0.20,2.81%,1.16%,-25.91%,-66.24%,526.32%,52.97,2.38,5.31%,5.31%,0.00%,169062
104,"BRD",1.33,0.05,19.84%,41.80%,81.21%,1.71%,190.24%,74.98,1.19,5.31%,0.00%,5.31%,1848272
105,"BORN",2.72,0.23,1.23%,1.85%,40.07%,-45.91%,126.67%,53.08,2.38,5.31%,4.85%,0.44%,307811
106,"RCON",2.35,0.46,39.75%,62.84%,106.23%,-5.21%,287.10%,77.26,6.00,5.26%,3.81%,1.40%,716644
107,"VHI",1.27,0.50,-7.81%,-14.45%,-24.10%,-40.78%,8.27%,37.31,12.44,5.25%,5.42%,-0.17%,34331
108,"AET",0.87,1.41,1.53%,2.05%,8.00%,-4.12%,52.28%,57.04,69.19,5.23%,4.83%,0.38%,5102178
109,"LCI",0.83,1.95,20.95%,27.98%,106.24%,4.91%,538.02%,75.05,43.13,5.22%,5.09%,0.12%,779765
110,"NG",1.83,0.18,13.05%,27.12%,37.88%,-22.00%,81.05%,66.65,3.44,5.20%,2.38%,2.75%,2858554
111,"COBR",1.74,0.12,4.05%,7.83%,10.79%,-21.93%,31.71%,57.65,3.24,5.19%,5.54%,-0.32%,10875
112,"AAU",0.45,0.12,22.67%,42.92%,26.60%,-25.81%,82.18%,74.43,1.84,5.14%,1.66%,3.43%,194965
113,"FLML",0.83,0.69,0.25%,12.12%,49.07%,-10.71%,210.61%,55.12,10.25,5.13%,5.13%,0.00%,51074
114,"ACUR",1.50,0.06,8.82%,10.01%,1.38%,-51.06%,37.04%,65.55,1.85,5.11%,5.71%,-0.57%,1030807
115,"PACD",,0.22,1.30%,-3.66%,-1.61%,-16.00%,15.75%,51.81,10.29,5.11%,4.68%,0.41%,1327786
116,"GLBS",0.80,0.25,5.18%,2.14%,28.74%,-23.58%,97.74%,54.56,3.50,5.11%,0.00%,5.11%,36851
117,"RGEN",0.94,0.75,10.76%,18.65%,46.59%,-2.10%,176.79%,65.96,15.86,5.10%,4.96%,0.13%,474296
118,"TNP",1.31,0.37,-2.97%,8.56%,33.44%,-16.03%,114.94%,53.29,6.86,5.05%,4.57%,0.46%,719710
119,"SMSI",2.47,0.10,2.30%,10.96%,40.98%,-7.73%,111.39%,61.29,1.67,5.03%,6.37%,-1.26%,61614
120,"PMD",0.68,0.59,19.88%,24.90%,44.58%,-0.08%,80.52%,83.16,18.64,5.01%,6.51%,-1.41%,48299
